Name	Year Start	Year End	Universe	Abbreviation	Format	Episodes	Runtime	Director	Studio	Status	Type
Mobile Suit Gundam	1979	1980	UC	MSG	TV	43	24 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Zeta Gundam	1985	1986	UC	Zeta / Z	TV	50	24 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Gundam ZZ	1986	1987	UC	ZZ	TV	47	24 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Gundam: Char's Counterattack	1988	1988	UC	CCA	Movie	1	120 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Gundam 0080: War in the Pocket	1989	1989	UC	0080	OVA	6	30 min	Fumihiko Takayama	Sunrise	Completed	Side Story
Mobile Suit Gundam F91	1991	1991	UC	F91	Movie	1	120 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Gundam 0083: Stardust Memory	1991	1992	UC	0083	OVA	13	30 min	Mitsuko Kase	Sunrise	Completed	Side Story
Mobile Suit Victory Gundam	1993	1994	UC	V	TV	51	24 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Fighter G Gundam	1994	1995	Future Century (AU)	G	TV	49	24 min	Yasuhiro Imagawa	Sunrise	Completed	Main Series
Mobile Suit Gundam Wing	1995	1996	After Colony (AU)	GW	TV	49	24 min	Masashi Ikeda	Sunrise	Completed	Main Series
Gundam Wing: Endless Waltz	1997	1997	After Colony (AU)	EW	OVA	3	30 min	Yasuhiro Imagawa	Sunrise	Completed	Side Story
After War Gundam X	1996	1996	After War (AU)	X	TV	39	24 min	Shinji Takamatsu	Sunrise	Completed	Main Series
Turn A Gundam	1999	2000	Correct Century (AU)	Turn A	TV	50	24 min	Yoshiyuki Tomino	Sunrise	Completed	Main Series
Mobile Suit Gundam SEED	2002	2003	Cosmic Era (AU)	SEED	TV	50	24 min	Mitsuo Fukuda	Sunrise	Completed	Main Series
Mobile Suit Gundam SEED Destiny	2004	2005	Cosmic Era (AU)	Destiny	TV	50	24 min	Mitsuo Fukuda	Sunrise	Completed	Main Series
Mobile Suit Gundam 00	2007	2009	Anno Domini (AU)	00	TV	50	24 min	Seiji Mizushima	Sunrise	Completed	Main Series
Mobile Suit Gundam Unicorn	2010	2014	UC	Unicorn	OVA	7	60 min	Kazuhiro Furuhashi	Sunrise	Completed	Side Story
Mobile Suit Gundam AGE	2011	2012	Advanced Generation (AU)	AGE	TV	49	24 min	Susumu Yamaguchi	Sunrise	Completed	Main Series
Gundam Build Fighters	2013	2014	Build Fighters (AU)	GBF	TV	25	24 min	Kenji Nagasaki	Sunrise	Completed	Build Series
Gundam Build Fighters Try	2014	2015	Build Fighters (AU)	GBFT	TV	25	24 min	Kenji Nagasaki	Sunrise	Completed	Build Series
Mobile Suit Gundam: Iron-Blooded Orphans	2015	2017	Post Disaster (AU)	IBO	TV	50	24 min	Tatsuyuki Nagai	Sunrise	Completed	Main Series
Mobile Suit Gundam Thunderbolt	2015	2017	UC	Thunderbolt	OVA	8	30 min	Kou Matsuo	Sunrise	Completed	Side Story
